Date,Avg_temp,Temp_diff,Consumer_price,Cow_disease
20160412,14.1,9.1,80229,344
20160414,12.4,9.3,77851,344
20160415,15,15,77280,344
20160418,11.2,11.5,77177,344
20160419,12,12.7,77177,344
20160420,14.3,10.8,77749,344
20160421,13.5,6.6,79823,344
20160422,13.5,8.5,79871,344
20160425,17.2,15.1,80646,344
20160426,21.1,17.5,81360,344
20160427,17.2,6.2,81074,344
20160428,17.2,10.6,74620,344
20160429,16.2,11.7,72800,344
20160502,21.1,11.9,73291,247
20160503,12.9,8.7,73291,247
20160504,15.7,10.4,72763,247
20160509,20.2,9.1,75019,247
20160510,14.5,5.6,74528,247
20160511,16.4,13.1,74889,247
20160512,17.8,11.9,72714,247
20160513,18.6,12.7,72158,247
20160516,15.9,11.1,73017,247
20160517,19.3,15.7,73017,247
20160518,22.3,16,72464,247
20160519,24.3,15.6,72606,247
20160520,24,14.8,72050,247
20160523,23.3,11.1,74722,247
20160524,16.8,6.4,74722,247
20160525,19.7,9.1,74722,247
20160526,19.4,5.4,74822,247
20160527,20.9,12.3,74592,247
20160530,22.1,12,75323,247
20160531,21.6,10.2,75420,247
20160601,23.3,12.8,74200,640
20160602,23.2,11.9,74691,640
20160603,22.2,10.1,75306,640
20160607,21.7,6.3,76957,640
20160608,22.1,9.5,76717,640
20160609,24.1,13.5,75874,640
20160610,24.6,11.1,76203,640
20160613,23.5,10.2,75849,640
20160614,23.8,9.8,75849,640
20160615,20.9,7.1,75063,640
20160616,20.9,6.3,75418,640
20160617,23.8,10.5,75779,640
20160620,24.7,11.1,76585,640
20160621,26,10.3,76536,640
20160622,24.3,9.3,76852,640
20160623,24.7,9.8,76826,640
20160624,23.1,4.6,76529,640
20160627,24.4,9.6,78441,640
20160628,24.7,9.3,77316,640
20160629,25.3,9.3,77548,640
20160630,24.6,3.9,77853,640
20160701,24,4.6,77130,257
20160704,21.8,3.9,78009,257
20160705,23.1,4.6,78634,257
20160706,22.9,6.6,79391,257
20160707,24,8.4,78391,257
20160708,27.3,11.2,77797,257
20160711,28.4,8.6,79221,257
20160712,26.3,8.8,79541,257
20160713,26.3,6.3,78981,257
20160714,27.5,8.4,76683,257
20160715,26.2,5.5,77483,257
20160718,24.4,7.7,78453,257
20160719,27.1,11.5,78609,257
20160720,28.6,8.9,78859,257
20160721,28.3,7.3,76953,257
20160722,29.1,8.8,76813,257
20160725,28.4,5,78319,257
20160726,28.4,6.3,78521,257
20160727,27.6,2.2,77888,257
20160728,28,3.8,78172,257
20160729,26.3,5,77359,257
20160801,28.4,6.6,78332,348
20160802,27.2,6.1,77655,348
20160803,29.1,10.2,77769,348
20160804,30.7,9.7,78088,348
20160805,31.2,9.5,77703,348
20160808,30.5,9.1,77621,348
20160809,29.3,7.2,77530,348
20160810,29.4,8.7,77530,348
20160811,30.5,10.3,79485,348
20160812,30.4,9.5,78720,348
20160816,29.3,8.7,79074,348
20160817,29.9,9.6,79640,348
20160818,29.9,8.1,79297,348
20160819,28.9,6.6,78632,348
20160822,30.7,10.5,79766,348
20160823,28.3,7,80300,348
20160824,29.1,6.5,80359,348
20160825,27.1,8.2,80733,348
20160826,23,8.7,80538,348
20160829,22.2,9.7,81413,348
20160830,20.6,6.6,81440,348
20160831,17.7,3.1,80583,348
20160901,23.2,12.8,79158,350
20160902,24.2,8.4,79153,350
20160905,26.4,8.1,79452,350
20160906,24.7,8,79452,350
20160907,24.3,7.7,79452,350
20160908,23,5,79879,350
20160909,23.9,9.6,79879,350
20160912,23.4,6.1,79997,350
20160919,21.9,9.6,81097,350
20160920,20.6,11.4,80946,350
20160921,20.2,11,80836,350
20160922,21.9,9.7,79711,350
20160923,21.4,11.5,79711,350
20160926,23.6,9.2,79775,350
20160927,21,4.7,79389,350
20160928,19.9,3.1,79389,350
20160929,20.4,6.6,79588,350
20160930,20.5,5.8,79588,350
20161004,22,13.4,79294,508
20161005,21.1,9.7,79153,508
20161006,18,9.9,79466,508
20161007,19.7,8.3,79158,508
20161010,14,14,80648,508
20161011,15.4,11.1,80794,508
20161012,15.5,9.3,80948,508
20161013,15.2,12.6,79637,508
20161014,16.7,13,79894,508
20161017,17.5,7.2,79597,508
20161018,17,12.8,79676,508
20161019,18,10.3,79724,508
20161020,18.6,12.9,80371,508
20161021,17.9,6.3,79806,508
20161024,15.1,11.6,79806,508
20161025,14.1,5,79800,508
20161026,13.3,5.8,79800,508
20161027,14.6,12.3,80246,508
20161028,14.6,8.2,80200,508
20161031,5.7,7.5,80200,508
20161101,1.5,9,79285,397
20161102,4.1,13.2,79413,397
20161103,9.1,9.9,79413,397
20161104,12.3,7.5,80437,397
20161107,12.8,9.3,80818,397
20161108,4.1,8,80818,397
20161109,2.1,11.8,80818,397
20161110,6,8.3,80854,397
20161111,9.1,8,80854,397
20161114,13.2,5.6,80584,397
20161115,5.2,7.7,80584,397
20161116,5.2,12,80584,397
20161117,9.1,12.5,78719,397
20161118,10.3,9.7,78305,397
20161121,9.5,9.5,78128,397
20161122,2,10.5,78072,397
20161123,-1.8,8.4,77530,397
20161124,-2.5,8.6,79121,397
20161125,1,9.5,78530,397
20161128,1.4,7,78530,397
20161129,1.7,11.4,78530,397
20161130,6,9.1,78386,397
20161201,4.1,8,78335,634
20161202,1.6,11.4,78335,634
20161205,5.9,9.8,78024,634
20161206,-1.1,8.5,77945,634
20161207,1.7,10.2,78313,634
20161208,2.1,9.1,77943,634
20161209,1.4,7.1,77576,634
20161212,2.3,9.3,78511,634
20161213,3.4,9.2,78621,634
20161214,-1.4,2.2,78937,634
20161215,-5,6.1,79342,634
20161216,-4.7,9.8,78837,634
20161219,7.2,7.7,78474,634
20161220,7.6,9.2,78439,634
20161221,7.9,8.5,78439,634
20161222,5.5,9.5,78559,634
20161223,-2.5,5.9,77338,634
20161226,2.5,3.1,78428,634
20161227,-2.3,7.6,78972,634
20161228,-3.7,11,78972,634
20161229,-4.2,6.1,78774,634
20161230,-3.9,10.1,77974,634
20170102,5,7.4,77082,304
20170103,2,10,77613,304
20170104,3.9,7.9,77613,304
20170105,3.8,7.4,78877,304
20170106,5.4,8.9,78210,304
20170109,1.5,7.4,79254,304
20170110,-3.7,8.5,79892,304
20170111,-3.8,10.9,79892,304
20170112,-2.2,7.1,79603,304
20170113,-6,7.2,78229,304
20170116,-3.8,12.9,78586,304
20170117,-2,10.5,78884,304
20170118,-0.5,5.8,79073,304
20170119,-1.2,9.6,77370,304
20170120,-4.4,6.4,77378,304
20170123,-8.9,8.5,76908,304
20170124,-7,10.3,76908,304
20170125,-5.2,11.1,76513,304
20170131,-5.4,10.1,76403,304
20170201,-4,8.2,76236,350
20170202,-2.7,12.5,76386,350
20170203,1.5,9,76125,350
20170206,-1.7,7,75905,350
20170207,-2,8.6,76181,350
20170208,-2.2,5.5,75932,350
20170209,-5.3,5,78017,350
20170210,-6.6,6.8,78294,350
20170213,0.1,11.5,78878,350
20170214,0.3,10.5,78697,350
20170215,1.8,11.9,79192,350
20170216,5.5,12.2,78500,350
20170217,0.8,14.2,78237,350
20170220,-1.5,10.6,78446,350
20170221,-0.6,14.5,78770,350
20170222,1.7,3.8,78500,350
20170223,-1.5,6.3,78042,350
20170224,-0.8,10.2,78042,350
20170227,3.7,12.5,77236,350
20170228,5.6,13.6,77500,350
20170302,1.8,7.7,76889,615
20170303,3.3,13.5,77024,615
20170306,0.1,6.8,77754,615
20170307,-1.3,6.9,77608,615
20170308,-0.1,10.3,77376,615
20170309,3.2,13.4,76769,615
20170310,4.8,13.4,76308,615
20170313,6.9,10.7,77517,615
20170314,5.8,9.9,78515,615
20170315,6.3,12.9,78574,615
20170316,6.2,12.4,77900,615
20170317,7.7,14.5,77764,615
20170320,10.2,9.5,78264,615
20170321,7.4,8.3,78243,615
20170322,7.6,12.2,78542,615
20170323,9.1,9.9,78597,615
20170324,8.7,11.3,78180,615
20170327,6.1,6.5,78536,615
20170328,7.1,10.2,78731,615
20170329,8.8,9.7,79251,615
20170330,10.6,13,79224,615
20170331,8.6,7.5,79273,615
20170403,11.4,14.9,79038,492
20170404,14.1,15.1,78178,492
20170405,12,3.4,78067,492
20170406,10.4,3,78326,492
20170407,14.5,14.5,78326,492
20170410,16.5,13.2,78497,492
20170411,15.3,8.7,78297,492
20170412,11.5,7.6,78069,492
20170413,12.7,13.3,77424,492
20170414,13,7.6,77208,492
20170417,14.7,6.8,77308,492
20170418,11.7,8,78470,492
20170419,12.6,11.4,78470,492
20170420,12.9,8.3,79200,492
20170421,13.1,11.7,78757,492
