Date,Consumer_price
20180425,82758
20180426,79491
20180427,78397
20180430,78997
20180501,78997
20180502,79838
20180503,80275
20180504,78953
20180508,79395
20180509,79395
20180510,80250
20180511,80094
20180514,80144
20180515,79811
20180516,80144
20180517,79666
20180518,79758
20180521,79666
20180522,79666
20180523,79814
20180524,80982
20180525,81453
20180528,81074
20180529,81074
20180530,81074
20180531,78797
20180601,79558
20180604,80240
20180605,79770
20180607,81184
20180608,81184
20180611,81284
20180612,81284
20180613,81284
20180614,78929
20180615,78929
20180618,79356
20180619,79356
20180620,79356
20180621,80040
20180622,79771
20180625,78386
20180626,78386
20180627,77824
20180628,77386
20180629,78869
20180702,79522
20180703,80116
20180704,81008
20180705,83200
20180706,82950
20180709,82749
20180710,83006
20180711,83006
20180712,79861
20180713,79278
20180716,79000
20180717,79278
20180718,79000
20180719,80886
20180720,80686
20180723,81029
20180724,81029
20180725,80571
20180726,78364
20180727,78278
20180730,79848
20180731,78971
20180801,79400
20180802,79647
20180803,79353
20180806,79606
20180807,79156
20180808,78806
20180809,79485
20180810,78826
20180813,78577
20180814,78577
20180816,77997
20180817,78608
20180820,79340
20180821,79026
20180822,78847
20180823,79985
20180824,80691
20180827,81597
20180828,81597
20180829,81556
20180830,81059
20180831,80623
20180903,81558
20180904,81687
20180905,81742
20180906,80381
20180907,80090
20180910,81082
20180911,81280
20180912,80788
20180913,82994
20180914,82994
20180917,83347
20180918,83388
20180919,82894
20180920,80019
20180921,81139
20180928,82925
20181001,82925
20181002,82925
20181004,84800
20181005,84794
20181008,85400
20181010,85316
20181011,84994
20181012,83694
20181015,83569
20181016,83569
20181017,82950
20181018,84293
20181019,84583
20181022,85887
20181023,85887
20181024,86250
20181025,85118
20181026,85118
20181029,85270
20181030,85270
20181031,84444
20181101,83367
20181102,83562
20181105,84911
20181106,85397
20181107,85525
20181108,83688
20181109,82870
20181112,83609
20181113,83264
20181114,83264
20181115,80341
20181116,80429
20181119,80018
20181120,81106
20181121,80739
20181122,85154
20181123,85439
20181126,85166
20181127,85166
20181128,87651
20181129,87582
20181130,87582
20181203,87763
20181204,88191
20181205,88191
20181206,84915
20181207,84915
20181210,85072
20181211,85072
20181212,85072
20181213,83356
20181214,82944
20181217,82944
20181218,81730
20181219,82161
20181220,81637
20181221,79666
20181224,79666
20181226,79637
20181227,78585
20181228,79858
20181231,80827
20190102,81074
20190103,78215
20190104,78215
20190107,78215
20190108,78215
20190109,77676
20190110,79882
20190111,79735
20190114,80061
20190115,80088
20190116,81400
20190117,82174
20190118,82231
20190121,82060
20190122,82712
20190123,82712
20190124,83091
20190125,82889
20190128,83388
20190129,83779
20190130,82194
20190131,79467
20190201,80015
20190207,81985
20190208,81133
20190211,79825
20190212,79075
20190213,79500
20190214,80632
20190215,79665
20190218,81057
20190219,80474
20190220,78309
20190221,79725
20190222,79248
20190225,77745
20190226,78685
20190227,78888
20190228,79731
20190304,78418
20190305,78127
20190306,77821
20190307,77378
20190308,77066
20190311,76848
20190312,76350
20190313,76232
20190314,76875
20190315,78235
20190318,78944
20190319,79221
20190320,79097
20190321,79126
20190322,79274
20190325,79120
20190326,79606
20190327,79263
20190328,78491
20190329,78491
20190401,78491
20190402,78220
20190403,78963
20190404,78891
20190405,78406
20190408,78949
20190409,78949
20190410,78377
20190411,78143
20190412,77735
20190415,78000
20190416,78944
20190417,78944
20190418,78518
20190419,78270
20190422,78938
20190423,78938
20190424,77791
20190425,79426
20190426,79761
20190429,79628
20190430,79628
20190501,79628
20190502,77672
20190503,78035
20190507,77262
20190508,78047
20190509,78858
20190510,77886
20190513,79064
20190514,79974
20190515,80441
20190516,79492
20190517,79373
20190520,79838
20190521,79492
20190522,78978
20190523,80400
20190524,79109
20190527,80222
20190528,79944
20190529,79750
20190530,79657
20190531,79874
20190603,81154
20190604,81154
20190605,80706
20190606,80706
20190607,80385
20190610,80385
20190611,80385
20190612,81881
20190613,82217
20190614,82217
20190617,83076
20190618,83076
20190619,83209
20190620,81035
20190621,80630
20190624,80406
20190625,79308
20190626,79068
20190627,78711
20190628,78287
20190701,79069
20190702,79186
20190703,79722
20190704,80809
20190705,81463
20190708,83503
20190709,83648
20190710,83648
20190711,84444
20190712,83226
20190715,84538
20190716,84859
20190717,84794
20190718,84276
20190719,83591
20190722,84026
20190723,84706
20190724,84706
20190725,82506
20190726,81519
20190729,81711
20190730,81642
20190731,82568
20190801,83179
20190802,83912
20190805,84826
20190806,85089
20190807,84364
20190808,83421
20190809,83615
20190812,83823
20190813,83339
20190814,84263
20190815,84263
20190816,79594
20190819,79300
20190820,79394
20190821,80272
20190822,80271
20190823,81300
20190826,80881
20190827,81663
20190828,81850
20190829,84135
20190830,84135
20190902,83227
20190903,83777
20190904,84310
20190905,83371
20190906,83694
20190909,82503
20190910,83052
20190911,83052
20190916,86764
20190917,87764
20190918,88103
20190919,87839
20190920,88863
20190923,89352
20190924,89509
20190925,89509
20190926,88259
