title,originallink,link,description,pubDate
"평택시, 럼피스킨 추가 확산 차단 총력 대응",http://www.metroseoul.co.kr/article/20241007500230,http://www.metroseoul.co.kr/article/20241007500230,평택시 임종철 부시장 주재 긴급 재난안전대책본부회의 모습 (평택시 제공) 평택시가 관내 <b>한우</b>농장에서 럼피스킨이 확진됨에 따라 방역 대책에 나섰다. 시는 지난 3일 관내 <b>한우</b>농장(22마리 사육)에서 럼피스킨이... ,2024-10-07
"강원도, 2천45억원 규모 지방재정 투자사업 승인",https://www.yna.co.kr/view/AKR20241007098300062?input=1195m,https://n.news.naver.com/mnews/article/001/0014968585?sid=102,"또 평창대관령음악제(14억원), 원주 댄싱카니발(14억원), 동해 무릉제(8억원), 홍천 인삼<b>한우</b> 명품축제(5억원), 횡성<b>한우</b>축제(22억원), 정선아리랑제(22억원) 등 지역 대표 행사도 이번에 재심사받고 통과됐다. 지방재정... ",2024-10-07
2024 수려한합천 고등학교1학년 축구 페스티벌 성료,https://www.newsgn.com/news/articleView.html?idxno=442489,https://www.newsgn.com/news/articleView.html?idxno=442489,"특히, 합천축협과 합천유통은 지역특산품인 합천황토<b>한우</b> 육포와 영호진미 등을 참가 선수들에게 제공해 대회의 품격을 더했다. 김윤철 합천군수는 &quot;이번 대회는 고교 축구 메카로서의 합천을 알리고, 지역경제 활성화를... ",2024-10-07
"990원 삼겹살·반값 와규...롯데마트, 신선·가공식품 할인행사",http://www.4th.kr/news/articleView.html?idxno=2070724,http://www.4th.kr/news/articleView.html?idxno=2070724,"'요리하다 제주 흑돼지 불고기 2종'과 '<b>한우</b> 1등급 국거리·불고기'는 엘포인트 회원 대상으로 각 50%, 40% 할인 판매된다. 수산에서는 '서해안 햇꽃게'에 대해 엘포인트 회원 대상으로 30% 할인 혜택이 제공되며 '고등어... ",2024-10-07
"문경약돌<b>한우</b>축제, 10만명 찾아 7억원 매출 기록",http://www.breaknews.com/1061112,http://www.breaknews.com/1061112,문경약돌<b>한우</b>축제가 10만 여명이 축제장을 찾아 7억 원의 매출을 기록하며 성황리에 마무리됐다. 7일 시에 따르면 문경약돌<b>한우</b>의 우수성을 널리 알리기 위해 기획된... ,2024-10-07
"롯데마트, 990원 삼겹살과 반값 와규 선보여",http://www.metroseoul.co.kr/article/20241007500354,http://www.metroseoul.co.kr/article/20241007500354,"더불어 '호주산 청정 와규 전품목'에 대해 행사카드(롯데/신한) 결제 시 최대 50% 할인 혜택을 제공하고, '요리하다 제주 흑돼지 불고기 2종(각 1㎏/냉장)'과 '<b>한우</b> 1등급 국거리/불고기(1㎏/냉장)'는 엘포인트 회원... ",2024-10-07
"영광군, 영광승마장, 전국승마대회 장애물 부문 4관왕 쾌거",https://www.geconomy.co.kr/news/article.html?no=289831,https://www.geconomy.co.kr/news/article.html?no=289831,"- 영광승마장 승마교관 2명, 유소년승마단 2명 장애물 부문 수상 - 지이코노미 박진권 기자 | 지난 9월 28일부터 29일까지 이틀간 장수승마장에서 열린 ‘제9회 장수 <b>한우</b>랑 사과랑 전국지구력승마대회’에서 영광승마장... ",2024-10-07
"평택시, '<b>한우</b>농가 럼피스킨 확진' 긴급 재난안전대책본부회의 열어",https://www.onews.tv/news/articleView.html?idxno=221301,https://www.onews.tv/news/articleView.html?idxno=221301,내 <b>한우</b>농장(22마리 사육)에서 럼피스킨이 확진됨에 따라 4일 오후 4시 30분 임종철 부시장 주재로 긴급 재난안전대책본부회의를 개최하고 럼피스킨 발생 상황과 방역 대책을 점검했다고 밝혔다. 시에 따르면 지역 내 <b>한우</b>... ,2024-10-07
"롯데마트, 990원 삼겹살과 반값 와규 선봬",http://www.smedaily.co.kr/news/articleView.html?idxno=305499,http://www.smedaily.co.kr/news/articleView.html?idxno=305499,"더불어 '호주산 청정 와규 전품목'에 대해 행사카드(롯데/신한) 결제 시 최대 50% 할인 혜택을 제공하고, '요리하다 제주 흑돼지 불고기 2종(각 1kg/냉장)'과 '<b>한우</b> 1등급 국거리/불고기(1kg/냉장)'는 엘포인트 회원... ",2024-10-07
[2024 국감] 유통·식품업계 포커스는?...불공정 거래 의혹 때린다,http://www.popcornnews.net/news/articleView.html?idxno=66171,http://www.popcornnews.net/news/articleView.html?idxno=66171,지난해 추석 기간 판매한 1등급 <b>한우</b> 불고기 제품에서 젖소의 DNA가 검출됐는데 이를 알고도 은폐한 것으로 나타났다. 기존 산자위 증인으로 채택됐던 류광진 티몬 대표와 류화현 위메프 대표 이름은 최종 명단에서 빠졌다.... ,2024-10-07
